2024-08-03T13:54:51.431Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: configuring server automatic mTLS: timestamp=2024-08-03T13:54:51.431Z
2024-08-03T13:54:51.609Z [WARN]  ValidateProviderConfig from "provider[\"registry.terraform.io/hashicorp/azurerm\"]" changed the config value, but that value is unused
2024-08-03T13:54:51.611Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Service Principal / Client Certificate is applicable for Authentication..: timestamp=2024-08-03T13:54:51.611Z
2024-08-03T13:54:51.611Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Multi Tenant Service Principal / Client Secret is applicable for Authentication..: timestamp=2024-08-03T13:54:51.611Z
2024-08-03T13:54:51.611Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Service Principal / Client Secret is applicable for Authentication..: timestamp=2024-08-03T13:54:51.611Z
2024-08-03T13:54:51.611Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Managed Service Identity is applicable for Authentication..: timestamp=2024-08-03T13:54:51.611Z
2024-08-03T13:54:51.611Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Obtaining a Multi-tenant token from the Azure CLI is applicable for Authentication..: timestamp=2024-08-03T13:54:51.611Z
2024-08-03T13:54:51.611Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Obtaining a token from the Azure CLI is applicable for Authentication..: timestamp=2024-08-03T13:54:51.611Z
2024-08-03T13:54:51.611Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Using Obtaining a token from the Azure CLI for Authentication: timestamp=2024-08-03T13:54:51.611Z
2024-08-03T13:54:52.658Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: authenticated object ID cache miss, populating with: "": timestamp=2024-08-03T13:54:52.658Z
2024-08-03T13:54:52.658Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Getting OAuth config for endpoint https://login.microsoftonline.com/ with  tenant 6b38c057-8c05-488b-b978-3a6853dc167e: timestamp=2024-08-03T13:54:52.658Z
2024-08-03T13:55:01.189Z [WARN]  Provider "registry.terraform.io/hashicorp/azurerm" produced an invalid plan for azurerm_resource_group.test-rg, but we are tolerating it because it is using the legacy plugin SDK.
    The following problems may be the cause of any confusing errors from downstream operations:
      - .location: planned value cty.StringVal("westeurope") does not match config value cty.StringVal("West Europe")
2024-08-03T13:55:01.204Z [INFO]  provider: plugin process exited: plugin=.terraform/providers/registry.terraform.io/hashicorp/azurerm/3.0.0/linux_amd64/terraform-provider-azurerm_v3.0.0_x5 id=23163
2024-08-03T13:55:26.286Z [INFO]  backend/local: apply calling Apply
2024-08-03T13:55:26.292Z [INFO]  provider: configuring client automatic mTLS
2024-08-03T13:55:27.865Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: configuring server automatic mTLS: timestamp=2024-08-03T13:55:27.865Z
2024-08-03T13:55:28.022Z [WARN]  ValidateProviderConfig from "provider[\"registry.terraform.io/hashicorp/azurerm\"]" changed the config value, but that value is unused
2024-08-03T13:55:28.023Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Service Principal / Client Certificate is applicable for Authentication..: timestamp=2024-08-03T13:55:28.023Z
2024-08-03T13:55:28.023Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Multi Tenant Service Principal / Client Secret is applicable for Authentication..: timestamp=2024-08-03T13:55:28.023Z
2024-08-03T13:55:28.023Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Service Principal / Client Secret is applicable for Authentication..: timestamp=2024-08-03T13:55:28.023Z
2024-08-03T13:55:28.023Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Managed Service Identity is applicable for Authentication..: timestamp=2024-08-03T13:55:28.023Z
2024-08-03T13:55:28.023Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Obtaining a Multi-tenant token from the Azure CLI is applicable for Authentication..: timestamp=2024-08-03T13:55:28.023Z
2024-08-03T13:55:28.023Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Testing if Obtaining a token from the Azure CLI is applicable for Authentication..: timestamp=2024-08-03T13:55:28.023Z
2024-08-03T13:55:28.024Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Using Obtaining a token from the Azure CLI for Authentication: timestamp=2024-08-03T13:55:28.023Z
2024-08-03T13:55:29.111Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: authenticated object ID cache miss, populating with: "": timestamp=2024-08-03T13:55:29.111Z
2024-08-03T13:55:29.111Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: Getting OAuth config for endpoint https://login.microsoftonline.com/ with  tenant 6b38c057-8c05-488b-b978-3a6853dc167e: timestamp=2024-08-03T13:55:29.111Z
2024-08-03T13:55:35.294Z [WARN]  Provider "registry.terraform.io/hashicorp/azurerm" produced an invalid plan for azurerm_resource_group.test-rg, but we are tolerating it because it is using the legacy plugin SDK.
    The following problems may be the cause of any confusing errors from downstream operations:
      - .location: planned value cty.StringVal("westeurope") does not match config value cty.StringVal("West Europe")
2024-08-03T13:55:35.294Z [INFO]  Starting apply for azurerm_resource_group.test-rg
2024-08-03T13:55:35.747Z [INFO]  provider: plugin process exited: plugin=.terraform/providers/registry.terraform.io/hashicorp/azurerm/3.0.0/linux_amd64/terraform-provider-azurerm_v3.0.0_x5 id=23377
2024-08-03T14:06:36.956Z [INFO]  Terraform version: 1.9.3
2024-08-03T14:06:36.956Z [INFO]  Go runtime version: go1.22.5
2024-08-03T14:06:36.957Z [INFO]  CLI args: []string{"terraform", "plan"}
2024-08-03T14:06:36.958Z [INFO]  CLI command args: []string{"plan"}
2024-08-03T14:06:37.938Z [INFO]  backend/local: starting Plan operation
2024-08-03T14:06:37.962Z [INFO]  provider: configuring client automatic mTLS
2024-08-03T14:06:39.606Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: configuring server automatic mTLS: timestamp=2024-08-03T14:06:39.606Z
2024-08-03T14:06:39.736Z [INFO]  provider: plugin process exited: plugin=.terraform/providers/registry.terraform.io/hashicorp/azurerm/3.0.0/linux_amd64/terraform-provider-azurerm_v3.0.0_x5 id=25473
2024-08-03T14:06:39.741Z [INFO]  provider: configuring client automatic mTLS
2024-08-03T14:06:41.389Z [INFO]  provider.terraform-provider-azurerm_v3.0.0_x5: configuring server automatic mTLS: timestamp=2024-08-03T14:06:41.389Z
2024-08-03T14:06:41.555Z [INFO]  provider: plugin process exited: plugin=.terraform/providers/registry.terraform.io/hashicorp/azurerm/3.0.0/linux_amd64/terraform-provider-azurerm_v3.0.0_x5 id=25514
